Date,Open,High,Low,Close
2021-12-06,606.01001,617.289978,601.0,612.690002
2021-12-07,619.830017,628.890015,611.400024,625.580017
2021-12-08,630.0,632.460022,623.200012,628.080017
2021-12-09,627.580017,630.23999,610.440002,611.0
2021-12-10,616.780029,617.73999,605.880005,611.659973
2021-12-13,612.0,612.640015,599.52002,604.559998
2021-12-14,598.710022,602.289978,588.130005,597.98999
2021-12-15,598.179993,605.690002,584.51001,605.039978
2021-12-16,597.090027,602.830017,588.0,591.059998
2021-12-17,591.609985,593.25,581.73999,586.72998
2021-12-20,586.429993,602.880005,584.26001,593.73999
2021-12-21,597.539978,607.820007,593.859985,604.919983
2021-12-22,603.359985,614.820007,602.630005,614.23999
2021-12-23,616.400024,616.880005,607.570007,614.090027
2021-12-27,615.0,615.0,609.25,613.119995
2021-12-28,614.950012,618.409973,609.690002,610.710022
2021-12-29,610.710022,613.97998,604.679993,610.539978
2021-12-30,612.98999,620.609985,611.23999,612.090027
2021-12-31,610.01001,614.080017,602.049988,602.440002
2022-01-03,605.609985,609.98999,590.559998,597.369995
2022-01-04,599.909973,600.409973,581.599976,591.150024
2022-01-05,592.0,592.840027,566.880005,567.52002
2022-01-06,554.340027,563.359985,542.01001,553.289978
2022-01-07,549.460022,553.429993,538.219971,541.059998
2022-01-10,538.48999,543.690002,526.320007,539.849976
2022-01-11,536.98999,543.909973,530.070007,540.840027
2022-01-12,544.27002,544.27002,532.02002,537.219971
2022-01-13,537.059998,540.789978,518.26001,519.200012
2022-01-14,517.599976,538.369995,511.880005,525.690002
2022-01-18,520.080017,521.75,508.679993,510.799988
2022-01-19,515.0,523.210022,510.51001,515.859985
2022-01-20,517.75,526.640015,506.929993,508.25
2022-01-21,400.429993,409.149994,379.98999,397.5
2022-01-24,383.910004,387.26001,351.459991,387.149994
2022-01-25,379.140015,387.709991,365.130005,366.420013
2022-01-26,378.269989,382.660004,356.619995,359.700012
2022-01-27,382.059998,394.799988,378.100006,386.700012
2022-01-28,386.76001,387.0,372.079987,384.359985
2022-01-31,401.970001,427.700012,398.200012,427.140015
2022-02-01,432.959991,458.480011,425.540009,457.130005
2022-02-02,448.25,451.980011,426.480011,429.480011
2022-02-03,421.440002,429.26001,404.279999,405.600006
2022-02-04,407.309998,412.769989,396.640015,410.170013
2022-02-07,410.170013,412.350006,393.549988,402.100006
2022-02-08,398.179993,406.609985,395.829987,403.529999
2022-02-09,408.649994,412.980011,398.790009,412.890015
2022-02-10,402.100006,408.0,396.359985,406.269989
2022-02-11,405.329987,411.609985,387.649994,391.309998
2022-02-14,387.589996,409.359985,386.890015,396.570007
2022-02-15,403.790009,409.160004,401.01001,407.459991
2022-02-16,401.529999,401.559998,390.380005,398.079987
2022-02-17,394.23999,399.109985,385.700012,386.670013
2022-02-18,392.529999,402.869995,389.049988,391.290009
2022-02-22,388.950012,392.420013,373.019989,377.380005
2022-02-23,382.720001,386.0,366.660004,367.459991
2022-02-24,355.089996,390.730011,354.720001,390.029999
2022-02-25,386.609985,391.290009,375.579987,390.799988
2022-02-28,387.329987,397.75,382.130005,394.519989
2022-03-01,391.600006,395.0,383.709991,386.23999
2022-03-02,388.929993,389.220001,375.209991,380.029999
2022-03-03,386.0,386.119995,364.649994,368.070007
2022-03-04,368.0,374.820007,357.170013,361.730011
2022-03-07,360.410004,362.0,350.200012,350.26001
2022-03-08,349.799988,358.859985,340.670013,341.76001
2022-03-09,357.690002,364.140015,350.51001,358.790009
2022-03-10,356.200012,367.019989,353.299988,356.769989
2022-03-11,361.190002,363.359985,340.0,340.320007
2022-03-14,338.720001,341.320007,329.820007,331.01001
2022-03-15,335.100006,345.359985,332.359985,343.75
2022-03-16,348.200012,359.98999,343.059998,357.529999
2022-03-17,359.700012,373.309998,354.880005,371.399994
2022-03-18,372.0,381.799988,368.470001,380.600006
2022-03-21,378.019989,381.820007,368.940002,374.589996
2022-03-22,371.140015,386.660004,366.76001,382.920013
2022-03-23,379.769989,382.459991,374.48999,374.48999
2022-03-24,379.76001,379.76001,368.899994,375.709991
2022-03-25,377.070007,377.640015,366.429993,373.850006
2022-03-28,375.230011,380.279999,366.730011,378.51001
2022-03-29,384.390015,396.5,380.329987,391.820007
2022-03-30,389.549988,392.700012,378.630005,381.470001
2022-03-31,383.589996,384.0,373.609985,374.589996
2022-04-01,376.799988,380.869995,368.5,373.470001
2022-04-04,373.549988,396.019989,373.130005,391.5
2022-04-05,389.299988,390.0,377.309998,380.149994
2022-04-06,374.149994,376.470001,362.730011,368.350006
2022-04-07,365.0,368.540009,353.690002,362.149994
2022-04-08,361.959991,362.5,354.869995,355.880005
2022-04-11,350.0,354.779999,345.200012,348.0
2022-04-12,355.910004,359.410004,342.25,344.100006
2022-04-13,343.920013,352.0,341.160004,350.429993
2022-04-14,350.950012,352.0,339.859985,341.130005
2022-04-18,340.0,342.359985,331.619995,337.859985
2022-04-19,333.220001,351.679993,333.220001,348.609985
2022-04-20,245.199997,248.699997,212.509995,226.190002
2022-04-21,220.0,227.679993,211.520004,218.220001
2022-04-22,220.179993,226.270004,210.050003,215.520004
2022-04-25,213.809998,216.660004,204.509995,209.910004
2022-04-26,208.800003,209.149994,198.279999,198.399994
2022-04-27,194.009995,200.190002,187.770004,188.539993
2022-04-28,191.559998,201.479996,185.600006,199.520004
2022-04-29,198.679993,204.710007,190.0,190.360001
2022-05-02,191.710007,200.210007,190.009995,199.460007
2022-05-03,198.289993,203.199997,194.770004,199.869995
2022-05-04,197.649994,204.380005,191.009995,204.009995
2022-05-05,200.449997,200.710007,186.0,188.320007
2022-05-06,186.75,187.210007,175.809998,180.970001
2022-05-09,177.660004,183.199997,172.300003,173.100006
2022-05-10,176.009995,181.869995,170.570007,177.660004
2022-05-11,176.089996,180.919998,165.550003,166.369995
2022-05-12,163.960007,177.580002,162.710007,174.309998
2022-05-13,177.160004,187.770004,176.009995,187.639999
2022-05-16,193.300003,195.889999,185.699997,186.509995
2022-05-17,189.169998,191.399994,185.169998,190.559998
2022-05-18,186.720001,187.699997,176.270004,177.190002
2022-05-19,178.050003,186.300003,175.710007,183.479996
2022-05-20,185.869995,190.190002,179.770004,186.350006
2022-05-23,186.149994,187.660004,177.889999,187.440002
2022-05-24,182.0,184.0,177.169998,180.339996
2022-05-25,180.279999,188.869995,180.169998,187.830002
2022-05-26,186.490005,192.339996,183.089996,191.399994
2022-05-27,193.190002,195.25,190.369995,195.190002
2022-05-31,196.179993,199.949997,190.800003,197.440002
2022-06-01,198.699997,202.740005,191.660004,192.910004
2022-06-02,192.020004,205.470001,191.720001,205.089996
2022-06-03,200.139999,202.949997,198.050003,198.979996
2022-06-06,202.089996,203.869995,195.380005,197.139999
2022-06-07,194.869995,199.600006,193.0,198.610001
2022-06-08,197.949997,207.380005,197.639999,202.830002
2022-06-09,200.649994,201.690002,192.539993,192.770004
2022-06-10,182.639999,185.860001,180.850006,182.940002
2022-06-13,177.070007,179.089996,168.960007,169.690002
